"","2009","2010","2011","2012","2013"
"79",4930952.35770893,-9166769.4031888,-15023259.6654285,-21029546.8172816,-26480469.7626803
"80",781275.070059549,-11622123.5112642,-10324223.2191829,-17519378.6527197,-19888611.4128134
"81",4930952.35770893,-9357727.11343572,-10381065.1127034,-11575901.1457635,-15289887.545655
"82",781275.070059549,-12092865.6017926,-16028469.5254773,-31024953.8679951,-33153130.9750484
"83",-3368402.21758984,-11280078.3851968,-9061733.24103367,-15863669.3633313,-15862064.9443893
"84",4930952.35770893,-9838152.81876051,-20811880.6074028,-35591123.2648451,-33825949.1764506
"85",-3368402.21758984,-9638636.16708103,-16911443.6157373,-30447779.0073472,-27757687.8936138
"86",-3368402.21758984,-8812303.83523745,-13633436.5316743,-21810081.8523076,-15133360.0581556
"87",4930952.35770893,-13113752.4104443,-13557187.8599786,-25435024.6061104,-28191703.5281766
"88",781275.070059549,-10790380.7805503,-16203871.8987109,-29491167.6178644,-26265722.2038956
"89",781275.070059549,-9475756.40968275,-21045510.9710615,-37238746.3484553,-37181099.3267315
"90",-3368402.21758984,-10108598.5495594,-9667282.69083532,-14448507.6205406,-15264281.0147632
"91",781275.070059549,-9612262.75824961,-12199528.6846792,-18459303.948292,-14771758.8212586
"92",781275.070059549,-8497929.02756896,-16724925.4136288,-24746641.3768538,-29552626.2984677
"93",781275.070059549,-11157066.3974034,-13207993.2879096,-22542883.7270528,-27760318.238975
"94",4930952.35770893,-10576303.5554708,-13538824.0525167,-21571488.4732355,-20200261.9571513
"95",781275.070059549,-11659220.4308314,-10735496.8772188,-18180975.6880265,-21630245.464669
"96",781275.070059549,-12159976.9335153,-14950585.5471272,-29617444.6919623,-27302937.1400555
"97",-3368402.21758984,-10311085.4107667,-15136250.9417164,-26915111.9752621,-31797907.1539809
"98",781275.070059549,-7810227.66319513,-20759056.6291031,-32808746.3558363,-37952557.7738543
"99",4930952.35770893,-10171262.8544842,-17334751.1093633,-30078550.0148316,-20165780.71027
"100",-3368402.21758984,-9030826.38026437,-9512211.06760782,-11984946.6360042,-16506758.3441993
"101",4930952.35770893,-11132990.0152524,-16732088.6617571,-29310908.4161613,-27171245.6715556
"102",4930952.35770893,-10148594.031597,-12866012.8507619,-17754365.444423,-24135458.6487015
"103",-3368402.21758984,-10683377.9804389,-7243207.17297453,-10379525.2003594,-13587927.3499084
"104",4930952.35770893,-10186194.9975151,-16204801.5894508,-25907392.0713973,-25931560.5943004
"105",781275.070059549,-12185818.3679797,-7024416.46954499,-10434212.0135481,-19068266.9146655
"106",781275.070059549,-8172141.52941631,-18644595.5638884,-27840869.5424011,-34339788.7048081
"107",-3368402.21758984,-10811316.1866539,-10236274.7600254,-17863925.0366431,-16090057.9822016
"108",-3368402.21758984,-8252212.45071057,-16954394.5228124,-27477615.9464467,-24864886.1301438
"109",-3368402.21758984,-8294722.53444343,-14104908.4375661,-20898326.8265661,-21006901.3506595
"110",4930952.35770893,-9346952.67746073,-9577257.4753407,-10590096.3329144,-5502480.98708652
"111",-3368402.21758984,-11359085.073967,-8543117.67927256,-14736452.1188832,-16562297.7028015
"112",-3368402.21758984,-10594559.9556235,-11871541.0022453,-21024807.5722493,-18899797.8332532
"113",781275.070059549,-10345983.4402755,-12272886.11766,-19042384.9565526,-21852642.0051755
"114",-3368402.21758984,-9273601.83056887,-14696351.8223562,-22445824.5126263,-33047983.8977716
"115",-3368402.21758984,-8488862.63743508,-17960226.1363857,-29004578.7582835,-32791245.7092435
"116",4930952.35770893,-9754689.36761897,-19406427.5418048,-32935792.8486815,-30124217.4024198
"117",-3368402.21758984,-8658051.69491112,-10330863.4767438,-12607274.9183101,-15145600.5279242
"118",781275.070059549,-9374037.47515875,-17880573.6107824,-29749493.2006393,-31909352.5372158
"119",781275.070059549,-9448455.0291334,-17148792.4950984,-28217862.9955438,-24900552.4250861
"120",-3368402.21758984,-11389765.9995364,-12772715.3506597,-24995768.7842615,-17850650.945425
"121",4930952.35770893,-12867901.0880571,-14699837.0828073,-27984010.8041728,-30664855.0604947
"122",-3368402.21758984,-9376178.61540664,-6524679.8207258,-7041730.62012983,-1713113.99532569
"123",-3368402.21758984,-7738015.31676792,-19746167.2846276,-31258111.0627497,-38895042.6743428
"124",-3368402.21758984,-10290126.2375972,-7061536.46559223,-9256117.6982498,-12015792.3845764
"125",4930952.35770893,-10487201.6538245,-10738090.9646727,-14550573.0500022,-16597053.5092656
"126",-3368402.21758984,-8532049.64005439,-9768704.71871123,-12033362.3259187,-11455369.4772816
"127",4930952.35770893,-10572519.1917505,-14607941.935011,-23485819.741919,-25726027.5455427
"128",781275.070059549,-10914752.3523777,-13497546.5461001,-22508657.5765828,-27215818.0821836
"129",-3368402.21758984,-11378179.2025287,-10001121.6375357,-17680811.8752233,-18958234.9279934
"130",781275.070059549,-9538578.87886767,-14055207.1374321,-20339022.4811614,-28401911.1576634
"131",781275.070059549,-10003778.0164269,-13249697.298371,-20856230.9276323,-20462118.0895676
"132",-3368402.21758984,-9310084.4761418,-20174702.8983993,-35997014.6313219,-38229129.7971539
"133",781275.070059549,-9857349.16480464,-14379430.3203272,-22518629.3147653,-27497646.8292539
"134",781275.070059549,-10650796.7875254,-13905479.0588534,-24239931.8017368,-19226270.8761176
"135",-3368402.21758984,-10330411.0623742,-14681030.3105972,-25563187.1909312,-29145669.8742321
"136",781275.070059549,-8771253.51269601,-16393837.1724661,-24851662.4355716,-30394733.0933862
"137",-3368402.21758984,-10382344.6570285,-11508035.6046852,-19052096.8658839,-22689737.2558973
"138",781275.070059549,-10645173.3829047,-12380481.0730241,-19501875.5609949,-25853804.5817437
"139",-3368402.21758984,-10578090.457503,-5100460.39843665,-5042210.21590311,-9460065.76958702
"140",781275.070059549,-10414672.4915541,-11246077.0905603,-16717129.7614504,-19161119.3557304
"141",781275.070059549,-10600313.5984647,-17868427.3980853,-31417540.7617718,-38626438.802085
"142",781275.070059549,-13129780.8662716,-9476909.58488309,-18556376.3237621,-23589273.6942981
"143",-3368402.21758984,-7962342.91868785,-12725683.3800702,-17206936.8517053,-18562959.8796136
"144",-3368402.21758984,-8842441.2962431,-14426922.9463468,-22676608.187525,-20627948.293146
"145",4930952.35770893,-12245371.6560245,-6798255.80289485,-9538380.61222841,-14365854.758821
"146",781275.070059549,-12668098.2708496,-7651645.82306694,-14413337.2969152,-13319124.4954216
"147",781275.070059549,-12334135.4947669,-9898693.72633702,-19073805.3233673,-12977792.730952
"148",781275.070059549,-10171397.0026473,-17354840.1477857,-30059249.6183188,-30736055.0383275
"149",781275.070059549,-11357041.2616287,-13240705.8202863,-23200822.283673,-29124539.3870407
"150",-3368402.21758984,-12155873.2971376,-8720598.58215252,-17095783.4679128,-14221495.9817681
"151",781275.070059549,-10467189.84767,-11995223.6917424,-19075729.4040422,-19823504.0413211
"152",781275.070059549,-9766271.23340078,-20322776.0348274,-34191026.2304884,-45611993.665076
"153",781275.070059549,-9620168.47425608,-12714327.3368034,-18635668.1682765,-19381360.2044965
"154",-3368402.21758984,-9238683.07788649,-19224553.3458534,-34524467.6101049,-31743320.3427325
"155",781275.070059549,-10449408.291027,-12030123.9935471,-18758649.8803452,-21698732.3184201
"156",-3368402.21758984,-11178009.3274001,-18102359.1259103,-35846930.8504957,-35079138.3462947
"157",-3368402.21758984,-8441499.08308343,-16849086.1674059,-27736721.5980449,-22177737.113665
"158",781275.070059549,-9332765.92573756,-17125178.7268137,-27679508.3626714,-33127097.9473241
"159",781275.070059549,-10134843.9276051,-10518668.3007978,-14803789.0762681,-18406736.1312802
"160",-3368402.21758984,-11358808.4321858,-9645498.26868216,-17055002.5705359,-18920274.8275126
"161",781275.070059549,-11210759.1729464,-13916087.8881868,-24357666.4504632,-26407326.2727357
"162",781275.070059549,-9092354.27795898,-17235712.1021585,-27031715.3802202,-30192469.9735107
"163",781275.070059549,-9385361.8848357,-16082239.6117,-26846463.832497,-18832728.6582617
"164",781275.070059549,-8831107.22126887,-20011273.5695494,-32542147.1070416,-40344276.1408525
"165",781275.070059549,-10942670.548997,-12676674.288759,-22448652.8285894,-16845609.8116193
"166",781275.070059549,-9399336.69432962,-14839839.1126764,-23917037.3169265,-18208883.2535543
"167",4930952.35770893,-12667759.8163574,-8332385.78231776,-14230183.6425144,-12885784.012775
"168",4930952.35770893,-10562480.3169145,-21846234.8452856,-39388003.4013325,-37826451.2542986
"169",781275.070059549,-8728652.7871903,-16101312.8248763,-24138795.8280932,-26918897.1714062
"170",4930952.35770893,-10609648.0822466,-12949925.9927305,-20171054.3306511,-18370633.0745357
"171",-3368402.21758984,-10948766.6333596,-10473206.6459134,-17979657.3563159,-20798604.7965758
"172",781275.070059549,-11008554.6516375,-8164747.95089839,-11822537.197366,-11387525.275871
